PRIMARY_COLLEGE,PRIMARY_COLLEGE_DESC,PRIMARY_DEPARTMENT_DESC,PRIMARY_MAJOR_DESC,TERM,GENDER
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Chemistry,Chemistry,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,College of Natural Sciences,Natural Sciences,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201610,M
NS,Natural Sciences,Chemistry,Chemistry,201610,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Physics,Physics,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,F
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Biology,Zoology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Statistics,Statistics,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201610,M
NS,Natural Sciences,Chemistry,Chemistry,201610,M
NS,Natural Sciences,Biology,Zoology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Physics,Physics,201610,M
NS,Natural Sciences,Physics,Physics,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Chemistry,Chemistry,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Mathematics,Mathematics,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201610,M
NS,Natural Sciences,Biology,Zoology,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
NS,Natural Sciences,Mathematics,Mathematics,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Statistics,Statistics,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Chemistry,Chemistry,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,M
NS,Natural Sciences,Physics,Physics,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Mathematics,Mathematics,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,F
NS,Natural Sciences,Physics,Physics,201610,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Physics,Physics,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Mathematics,Mathematics,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Mathematics,Mathematics,201610,F
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Environmental Engineering,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with CB,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Computer Engineering,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Chemistry,Chemistry,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Biology,Zoology,201610,F
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Physics,Physics,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Engineering Science,201610,M
NS,Natural Sciences,Computer Science,Applied Computing Technology,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Biology,Zoology,201610,F
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Chemistry,Chemistry,201610,F
NS,Natural Sciences,College of Natural Sciences,Natural Sciences,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,F
NS,Natural Sciences,Biology,Zoology,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Engineering Science,201610,F
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
EG,Walter Scott College of Engr,Electrical and Computer Engr,Electrical Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,F
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
NS,Natural Sciences,Psychology,Psychology,201610,F
NS,Natural Sciences,Mathematics,Mathematics,201610,M
NS,Natural Sciences,Biology,Biological Science,201610,M
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,F
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
NS,Natural Sciences,Computer Science,Computer Science,201610,M
EG,Walter Scott College of Engr,Civil and Environmental Engr,Civil Engineering,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,F
NS,Natural Sciences,Biology,Biological Science,201610,F
NS,Natural Sciences,Computer Science,Computer Science,201610,M
NS,Natural Sciences,Mathematics,Mathematics,201610,M
EG,Walter Scott College of Engr,Chemical and Biological Engr,Chemical & Biological Engineer,201610,M
EG,Walter Scott College of Engr,Walter Scott College of Engr,Biomedical Engineering with ME,201610,F
NS,Natural Sciences,Biochemistry & Molecular Biol,Biochemistry,201610,M
EG,Walter Scott College of Engr,Mechanical Engineering,Mechanical Engineering,201610,M
